alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280/od315_of_diluted_wines,proline,target
13.30 ,1.11 ,1.86 ,16.77 ,157.84 ,2.20 ,1.26 ,0.15 ,2.40 ,2.98 ,1.16 ,3.30 ,756.35 ,1
13.31 ,3.86 ,1.92 ,16.55 ,96.63 ,2.52 ,2.32 ,0.17 ,1.77 ,4.39 ,1.02 ,2.61 ,619.88 ,0
12.97 ,1.97 ,2.08 ,17.47 ,95.45 ,2.70 ,2.47 ,0.44 ,1.92 ,3.97 ,1.19 ,2.80 ,1004.28 ,0
13.18 ,1.52 ,2.36 ,17.30 ,97.77 ,3.18 ,3.00 ,-0.01 ,1.62 ,5.27 ,0.69 ,3.31 ,921.32 ,0
11.82 ,2.36 ,3.16 ,21.01 ,123.14 ,1.63 ,1.09 ,-0.43 ,1.49 ,2.42 ,1.04 ,2.46 ,584.85 ,1
12.32 ,1.22 ,2.28 ,21.56 ,98.98 ,2.78 ,3.21 ,0.20 ,3.14 ,2.37 ,0.90 ,3.67 ,713.63 ,1
12.64 ,1.18 ,2.21 ,24.95 ,76.19 ,2.32 ,1.66 ,0.50 ,1.33 ,1.30 ,1.15 ,3.36 ,604.92 ,1
12.60 ,2.83 ,1.79 ,18.20 ,95.68 ,2.85 ,2.42 ,0.42 ,2.05 ,1.82 ,1.00 ,3.43 ,313.86 ,1
11.67 ,1.00 ,2.29 ,16.57 ,93.65 ,2.39 ,2.20 ,0.44 ,2.05 ,3.32 ,0.64 ,3.30 ,527.79 ,1
12.24 ,5.81 ,2.56 ,24.13 ,96.95 ,1.59 ,0.86 ,0.38 ,1.39 ,5.02 ,0.59 ,1.81 ,530.89 ,2
13.15 ,1.70 ,1.69 ,16.17 ,93.07 ,2.05 ,2.53 ,0.40 ,1.97 ,5.21 ,1.25 ,3.03 ,1348.32 ,0
13.77 ,5.13 ,2.42 ,21.38 ,83.94 ,2.46 ,2.57 ,0.07 ,2.39 ,2.46 ,0.82 ,3.03 ,375.27 ,1
14.88 ,2.00 ,2.29 ,18.12 ,108.02 ,3.09 ,3.28 ,0.46 ,2.34 ,5.59 ,1.10 ,3.15 ,1611.48 ,0
12.08 ,1.41 ,2.16 ,26.54 ,90.91 ,1.86 ,2.65 ,0.26 ,2.23 ,2.02 ,1.15 ,2.92 ,361.80 ,1
12.92 ,3.46 ,1.79 ,21.84 ,112.73 ,1.50 ,1.19 ,0.29 ,0.77 ,5.87 ,0.50 ,2.05 ,553.05 ,2
13.24 ,1.36 ,2.07 ,16.36 ,107.88 ,2.66 ,1.14 ,0.30 ,0.73 ,6.26 ,1.06 ,1.89 ,415.94 ,1
11.16 ,2.92 ,1.97 ,18.95 ,100.72 ,3.05 ,2.22 ,0.60 ,1.09 ,2.69 ,0.94 ,3.15 ,408.51 ,1
13.23 ,1.19 ,1.69 ,15.54 ,147.14 ,1.92 ,1.10 ,0.29 ,1.99 ,2.90 ,0.98 ,2.65 ,733.54 ,1
12.72 ,1.21 ,1.98 ,22.46 ,83.80 ,2.15 ,1.54 ,0.41 ,1.59 ,1.63 ,0.78 ,2.80 ,495.87 ,1
13.64 ,1.55 ,2.48 ,16.65 ,110.88 ,3.42 ,3.04 ,0.46 ,1.82 ,6.79 ,0.99 ,2.47 ,1323.40 ,0
14.48 ,5.04 ,2.31 ,21.41 ,86.74 ,0.95 ,-0.02 ,0.29 ,1.09 ,5.19 ,0.62 ,1.46 ,426.75 ,2
13.25 ,1.62 ,2.90 ,18.04 ,123.44 ,3.14 ,2.54 ,0.37 ,1.54 ,6.97 ,1.50 ,3.09 ,1477.64 ,0
12.07 ,1.73 ,2.15 ,21.24 ,88.36 ,1.85 ,1.54 ,0.51 ,1.83 ,1.74 ,1.04 ,3.48 ,518.53 ,1
14.26 ,1.43 ,2.49 ,24.17 ,81.32 ,3.15 ,2.59 ,0.12 ,1.99 ,3.57 ,1.14 ,3.44 ,426.58 ,1
10.40 ,1.57 ,2.44 ,27.77 ,91.96 ,1.82 ,1.06 ,0.49 ,1.18 ,2.80 ,1.48 ,3.74 ,612.94 ,1
12.80 ,1.82 ,2.55 ,19.81 ,110.57 ,2.96 ,3.82 ,0.16 ,2.29 ,5.73 ,0.93 ,2.47 ,1287.07 ,0
12.63 ,1.18 ,2.35 ,16.82 ,122.57 ,1.45 ,1.52 ,-0.05 ,0.85 ,4.31 ,0.76 ,1.29 ,612.17 ,2
11.79 ,3.27 ,2.48 ,19.60 ,105.98 ,1.40 ,0.97 ,0.33 ,1.11 ,5.26 ,0.99 ,1.52 ,648.57 ,2
12.73 ,1.48 ,2.48 ,20.27 ,100.47 ,1.99 ,1.85 ,0.24 ,1.58 ,3.03 ,1.55 ,2.14 ,386.87 ,1
11.47 ,3.68 ,2.26 ,24.09 ,102.74 ,2.78 ,2.37 ,0.61 ,2.10 ,2.83 ,1.50 ,2.88 ,453.88 ,1
14.47 ,1.89 ,2.29 ,16.20 ,116.00 ,3.26 ,3.19 ,0.38 ,2.11 ,9.60 ,1.19 ,3.39 ,1273.80 ,0
13.18 ,1.54 ,2.37 ,17.30 ,97.79 ,3.20 ,3.02 ,-0.01 ,1.63 ,5.29 ,0.69 ,3.31 ,922.70 ,0
13.74 ,3.82 ,2.29 ,18.04 ,123.31 ,1.97 ,1.15 ,0.22 ,1.37 ,10.21 ,0.62 ,1.12 ,842.51 ,2
